movie,scene,starttime,endtime,startsec_adj,endsec_adj,startTR,endTR,text
2,36,25:07,25:12,1427.127,1432.127,952,955,"And then she skips around with the needle again, but the, the record player’s always there in front of her."
2,37,25:12,25:17,1432.127,1437.127,956,958,"So she, she skips again, and then she’s no longer pregnant."
2,37,25:17,25:20,1437.127,1440.127,959,960,"And then she’s pregnant again, she's no longer pregnant."
2,37,25:20,25:25,1440.127,1445.127,961,963,"And then she decided to skip ahead until she already has a baby in her arms, and she's no longer pregnant."
2,37,25:25,25:29,1445.127,1449.127,964,966,"But then like the baby starts wailing and crying, and she's like, “I don’t wanna have anymore of this.”"
2,38,25:29,25:37,1449.127,1457.127,967,971,"And so she skips again, and then she's like a little child, little like two-year-old or a toddler."
2,38,25:37,25:42,1457.127,1462.127,972,975,"Again, the record player is in front of her, but she's like in, you know, a child’s room."
2,38,25:42,25:51,1462.127,1471.127,976,981,"And she's probably thinking like, “No, I don’t want this either,” and so she tries to skip ahead to the record again, but her little arms can barely reach it, but eventually she gets it."
2,39,25:51,26:00,1471.127,1480.127,982,987,"And she forces the record to skip again, and this time she’s an old lady, old lady in a wheelchair, and she’s probably thinking, “No, I don’t want this either.”"
2,39,26:00,26:06,1480.127,1486.127,988,991,And so she tries to move forward to make the record like kinda skip again to like a different track.
2,39,26:07,26:19,1487.127,1499.127,992,999,"But the record keeps jumping on its own, and every time it does that, it kind of moves her back in time, so she moves forward in her armchair, in her wheelchair, but then is forced to jump back in time."
2,39,26:20,26:23,1500.127,1503.127,1001,1002,"She does that a few bits, and it’s like she’s stuck in this loop."
2,40,26:23,26:28,1503.127,1508.127,1003,1005,"But eventually she gets it to, to skip ahead to like another track."
2,40,26:28,26:31,1508.127,1511.127,1006,1007,"And this time again she's an old lady in a walker, "
2,-1,26:32,26:37,1512.127,1517.127,1009,1011,and I don’t remember what happens from here.
2,40,26:39,26:42,1519.127,1522.127,1014,1015,"I feel like she might’ve fallen, but I'm not 100% sure."
